headword,pet_dict,pet_old,pet_new,mw_old,mw_new,in_pwgissues
pfTivIvaralocana,pw,¯K4RAN2D2.,¯KA7RAN2D2.,"<s>pfTivI—vara-locana</s> ¦ <lex>m.</lex> <ab>N.</ab> of <s1>Bodhi-sattva</s1>, <ls>Kāraṇḍ…","<s>pfTivI—vara-locana</s> ¦ <lex>m.</lex> <ab>N.</ab> of <s1>Bodhisattva</s1>, <ls>Kāraṇḍ.…",False
pfzWa,pwg,"<ls>MĀRK. P. 14,62. 16,79.</ls>","<ls>MĀRK. P. 14,62.</ls> <ls n=""MĀRK. P."">16,79.</ls>",Raivata Ś°,"Raivata <ab n=""Sāman"">S°</ab>s",False
pitrya,pwg,"<ls>VARĀH. BṚH. S. 4,6. 10,7. 11,57. 15,8. 31,11. 46,18. 96,15. 98,5.</ls> <ls>SŪRYAS. 8,1…","<ls>VARĀH. BṚH. S. 4,6.</ls> <ls n=""VARĀH. BṚH. S."">10,7.</ls> <ls n=""VARĀH. BṚH. S."">11,5…",pitrya,pítrya,False
plu,pwg,"<ls n=""HARIV."">9525.</ls> <ls n=""HARIV."">12401.</ls> <ls n=""HARIV."">13548.</ls> <ls>R. 1,3…","<ls n=""HARIV."">9525.</ls> <ls n=""HARIV."">12401.</ls> <ls n=""HARIV."">13548.</ls> <ls>R. 1,3…",or plāvayati,or plavayati,False
prAk,pw,प्रञ्च्,प्राञ्च्,mfn,"<lex type=""inh"">ind.</lex>",False
prAtar,pw,ý,²,"next morning. to-morrow,","next morning, to-morrow,",False
prI,pwg,"<ls>SUŚR. 2,196,6.</ls> <ls>ŚĀK. 193.</ls> <ls>Spr. 1926, v. l.</ls> <ls n=""Spr."">2106.</l…","<ls>SUŚR. 2,196,6.</ls> <ls>ŚĀK. 193.</ls> <ls>Spr. 1926, v. l.</ls> <ls n=""Spr."">2106.</l…","<div n=""vp""/> <ab>cl.</ab> 4. <ab>Ā.</ab> (<ls n=""Dhātup."">xxvi, 35</ls>) <s>prIyate</s> (…","<div n=""vp""/> <ab>cl.</ab> 4. <ab>Ā.</ab> (<ls n=""Dhātup."">xxvi, 35</ls>) <s>prIyate</s> (…",False
prOga,pwg,prOga,prauga,<s>prO0ga</s>,<s>prO0ga</s>,False
prakozWa,pw,"MR2K4K4H.68,23.69,5.U.S.W). *AUTO*",paren change(s),"<s>pra-kozWa</s> ¦ <lex>m.</lex> the fore-arm, <ls>Kālid.</ls>; <ls>BhP.</ls>; <ls>Suśr.</…","<s>pra-kozWa</s> ¦ <lex>m.</lex> the forearm, <ls>Kālid.</ls>; <ls>BhP.</ls>; <ls>Suśr.</l…",False
prati,pwg,"<ls>ŚAT. BR. 13,5,4,24. 3,7,1,13. 4,6,8,5. 8,2,4,19.</ls> {#sarvARi ha vA imAni BUtAnyAkAS…","<ls>ŚAT. BR. 13,5,4,24.</ls> <ls n=""ŚAT. BR."">3,7,1,13.</ls> <ls n=""ŚAT. BR."">4,6,8,5.</ls…",in comparison with little,... with Indra,False
pratyudyama,pw,¯C2A7N5KH.Br.,¯C2A7N5KH.BR.,(TāṇḍBr. ) f. (ŚāṅkhBr. ),"(TāṇḍBr. ), ā, f. (ŚāṅkhBr. )",False
preman,pwg,"<ls>RĀJA-TAR. 7,11. 33. 8,1351. 1633. 1816. 1820. 1830. 1832.</ls>","<ls>RĀJA-TAR. 7,11.</ls> <ls n=""RĀJA-TAR. 7,"">33.</ls> <ls n=""RĀJA-TAR."">8,1351.</ls> <ls …","preman a mn. love, affection,....","preman, mn. love, affection,",False
puRqarIka,pwg,"<ls>MED. k. 199.</ls> <ls>HALĀY. 3,58.</ls> <ls>ŚĀŚVATA</ls> bei <ls>UJJVAL.</ls> <ls>VYUT…","<ls>MED. k. 199.</ls> <ls>HALĀY. 3,58.</ls> <ls>ŚĀŚVATA</ls> bei <ls>UJJVAL.</ls> <ls>VYUT…","¦ a variety of the sugar-cane, <ls>L.</ls><info lex=""inh""/>","¦ a variety of the sugarcane, <ls>L.</ls><info lex=""inh""/>",False
puRqra,pwg,"<ls>LIA. I,140. fg. 271. 556. fg.</ls> <ls>AIT. BR. 7,18.</ls> <ls>MBH. 1,4221.</ls> <ls n…","<ls>LIA. I,140. fg. 271. 556. fg.</ls> <ls>AIT. BR. 7,18.</ls> <ls>MBH. 1,4221.</ls> <ls n…","¦ sugar-cane (or a red variety of it), <ls>L.</ls><info lex=""inh""/>","¦ sugarcane (or a red variety of it), <ls>L.</ls><info lex=""inh""/>",False
puz,pwg,"<ls n=""Spr."">2506.</ls> <ls n=""Spr."">2602.</ls> <ls>BHĀG. P. 2,10,42.</ls> <ls n=""BHĀG. P.…","<ls n=""Spr."">2506.</ls> <ls n=""Spr."">2602.</ls> <ls>BHĀG. P. 2,10,42.</ls> <ls n=""BHĀG. P.…",vitva-,viSva-,False
qomba,pwg,"<ls>RĀJA-TAR. 5,353. 358. 395. 6,69. 84. 182.</ls>","<ls>RĀJA-TAR. 5,353.</ls> <ls n=""RĀJA-TAR. 5,"">358.</ls> <ls n=""RĀJA-TAR. 5,"">395.</ls> <l…","¦ <ab>N.</ab> of a man, <ls n=""Rājat."">vii, 1070</ls> and <ls n=""Rājat."">1136</ls><info le…","¦ <ab>N.</ab> of a man, <ls n=""Rājat."">vii, 1070</ls> and <ls n=""Rājat. vii,"">1136</ls><in…",True
rAD,pwg,"<ls n=""MBH."">4,262.</ls> <ls n=""MBH. 4,"">326.</ls> <ls n=""MBH."">5,4483.</ls> <ls n=""MBH. 5…","<ls n=""MBH."">4,262.</ls> <ls n=""MBH. 4,"">326.</ls> <ls n=""MBH."">5,4483.</ls> <ls n=""MBH. 5…",<s>rAD</s> ¦ (<ab>cf.</ab> √ <s>fD</s> and <s>raD</s>) <ab>cl.</ab> 5. 4. <ab>P.</ab> (<ls…,<s>rAD</s> ¦ (<ab>cf.</ab> √ <s>fD</s> and <s>raD</s>) <ab>cl.</ab> 5. 4. <ab>P.</ab> (<ls…,False
rAjana,pw,"¯H.AN.3,465.","¯H.an.3,465.",rAjana,rAjanI,False
rAmacandra,pw,¯BURNELL.T.,"¯BURNELL,T.","m. ‘R°s-moon’,","m. ‘R°-moon’,",False
raktacitraka,pw,¯SA7GA7N,¯RA7G4AN,raktacitraka,raktacitraka,False
ru,pwg,"<ls n=""TBR."">10.</ls> {#aro^ravI\dvfzRo\ asya\ vajra^H#}","<ls n=""TBR. 3,1,1,"">10.</ls> {#aro^ravI\dvfzRo\ asya\ vajra^H#}",ravoti,ravati,False
ruD,pwg,"<ls>SĀH. D. 205. 574. 214,2.</ls>","<ls>SĀH. D. 205. 574.</ls> <ls n=""SĀH. D."">214,2.</ls>","<s>-ro<srs/>Dam</s>, <ls>ib.</ls>),","<s>-ro/Dam</s>, <ls>ib.</ls>),",False
rudra,pwg,"<ls n=""AV. 1,"">90,1.</ls> <ls n=""AV."">11,2,7.</ls> <ls n=""AV. 11,2,"">17.</ls> <ls>VS. 3,57…","<ls n=""AV. 1,"">90,1.</ls> <ls n=""AV."">11,2,7.</ls> <ls n=""AV. 11,2,"">17.</ls> <ls>VS. 3,57…",dru2,<hom>2</hom> dru,False
sAD,pwg,"<ls>MĀRK. P. 29,46. 34,48.</ls>","<ls>MĀRK. P. 29,46.</ls> <ls n=""MĀRK. P."">34,48.</ls>","<div n=""vp""/><ab>Intens.</ab>, <s>sAsADyate</s>, <s>sAsdiDi</s>, <ls>ib.</ls><info westerg…","<div n=""vp""/><ab>Intens.</ab>, <s>sAsADyate</s>, <s>sAsAdDi</s>, <ls>ib.</ls><info westerg…",False
sAmAnya,pwg,"<ls n=""KATHĀS. 34,"">241.</ls> <ls n=""KATHĀS."">60,2.</ls> <ls n=""KATHĀS."">63,56.</ls> <ls>R…","<ls n=""KATHĀS. 34,"">241.</ls> <ls n=""KATHĀS."">60,2.</ls> <ls n=""KATHĀS."">63,56.</ls> <ls>R…",instr,<ab>instr.</ab>,False
sArTavAha,pwg,"<ls>AŚOKĀVAD. 24.</ls> <ls>RATNĀVADĀNAM. 117.</ls> <ls>PAÑCAT. 9,1. 2.</ls> {#dvija°#}","<ls>AŚOKĀVAD. 24.</ls> <ls>RATNĀVADĀNAM. 117.</ls> <ls>PAÑCAT. 9,1.</ls> <ls n=""PAÑCAT. 9,…","¦ a <s1>Bodhi-sattva</s1>, <ls>ib.</ls><info lex=""inh""/>","¦ a <s1>Bodhisattva</s1>, <ls>ib.</ls><info lex=""inh""/>",False
sAra,pwg,"<ls>UTTARAR. 111,17 (151,1</ls> = <ls>SĀH. D. 38,10).</ls> {#ajAta°#}","<ls>UTTARAR. 111,17</ls> (<ls n=""UTTARAR."">151,1</ls> = <ls>SĀH. D. 38,10</ls>). {#ajAta°#…","pith or solid interior of anything, RV.","strength, power (comma)",False
sa,pwg,"<ls>MĀRK. P. 61,52. 55.</ls> {#tanmAtraM cenmahyaM na dadAti purA BavAn . sa#} ({%du eben …","<ls>MĀRK. P. 61,52.</ls> <ls n=""MĀRK. P. 61,"">55.</ls> {#tanmAtraM cenmahyaM na dadAti pur…",sa a (to be similarly prefixed to the following) :,Delete the item or fill with content,False
saMhati,pwg,"<ls>Verz. d. Oxf. H. 231,b,20.</ls> <ls>VARĀH. BṚH. S. 68,1. 100</ls> (in der Unterschr.).…","<ls>Verz. d. Oxf. H. 231,b,20.</ls> <ls>VARĀH. BṚH. S. 68,1.</ls> <ls n=""VARĀH. BṚH. S. 68…",...Kāv.; Kathās. and C.,...Kāv.; Kathās. &c.,False
sad,pwg,"<ls n=""R. 1,"">82,28.</ls> <ls n=""R."">6,108,41.</ls> <ls>RAGH. 1,88.</ls> <ls>VIKR. 54.</ls…","<ls n=""R. 1,"">82,28.</ls> <ls n=""R."">6,108,41.</ls> <ls>RAGH. 1,88.</ls> <ls>VIKR. 54.</ls…",[cf. pres. stem],[cf. pres. stem],False
sadfSa,pwg,"<ls n=""ṚV."">4,51,6.</ls> <ls>TS. 2,5,6,6. 6,2,6,4. 6,8,2.</ls> <ls>ŚAT. BR. 6,2,1,19.</ls>…","<ls n=""ṚV."">4,51,6.</ls> <ls>TS. 2,5,6,6.</ls> <ls n=""TS."">6,2,6,4.</ls> <ls n=""TS. 6,"">6,…",,,False
sahas,pw,"¯A7RSH., ‹BR.›",¯A7RSH.BR.,"[ID=240011] sahas n. strength, power, force, victory (sahasas putra or <!!!>°sah sUnu<!!!>…",°saH sUnu (not 'h' but visarga,False
sakft,pwg,"<ls>VARĀH. BṚH. S. 28,4. 30,3. 68,74.</ls>","<ls>VARĀH. BṚH. S. 28,4.</ls> <ls n=""VARĀH. BṚH. S."">30,3.</ls> <ls n=""VARĀH. BṚH. S."">68,…",7. sa + 1. kṛt),<hom>7.</hom> sa + <hom>1.</hom>kṛt,False
samudra,pwg,"<ls n=""ŚAT. BR."">3,1,39. 4,1,9.</ls> {#mano vE samudraH#}","<ls n=""ŚAT. BR. 7,"">3,1,39. 4,1,9.</ls> {#mano vE samudraH#}","when the 7 planets are situated in the and, 4th","when the 7 planets are situated in the 2nd, 4th",False
samyaYc,pwg,"<ls>MĀRK. P. 53,1. 92,8.</ls> <ls>WEBER, RĀMAT. UP. 310. 327. 357.</ls> <ls>KṚṢṆAJ. 287.</…","<ls>MĀRK. P. 53,1.</ls> <ls n=""MĀRK. P."">92,8.</ls> <ls>WEBER, RĀMAT. UP. 310. 327. 357.</…","samyaYc,",samyak. Also should be H1c and gender=ind,False
samyak,pw,Adv. »s.u. sampañc.,Adv. »s.u. samyañc.,H1A>,H1C>,False
sarva,pwg,"<ls>ŚAT. BR. 6,1,3,11. 3,1,1,9. 10. 2,3. 14,2,2,46.</ls>","<ls>ŚAT. BR. 6,1,3,11.</ls> <ls n=""ŚAT. BR."">3,1,1,9.</ls> <ls n=""ŚAT. BR. 3,1,1,"">10.</ls…",ὁλϝοςLat.,ὁλϝος Lat.,False
satya,pwg,"<ls>MĀRK. P. 94,8. 14.</ls>","<ls>MĀRK. P. 94,8.</ls> <ls n=""MĀRK. P. 94,"">14.</ls>",yat sasyam,yat satyam,False
sfj,pw,¯SPR.433,¯Spr.433,"69 ), TS. ; AV. ; ŚBr. ; ŚrS. ; (in older language only Ā.) to emit from <!!!>one's self i…","one's self, i.e. create (comma after self)",False
si,pw,¯PAT. ‹zu› ¯P.,¯PAT.zuP.,<hom>1.</hom> <s>si</s> ¦ (<ab>cf.</ab> √ <hom>4.</hom> <s>sA</s>) <ab>cl.</ab> 5. 9. <ab>…,<hom>1.</hom> <s>si</s> ¦ (<ab>cf.</ab> √ <hom>4.</hom> <s>sA</s>) <ab>cl.</ab> 5. 9. <ab>…,False
sic,pwg,"<ls>TS. 2,4,12,2. 5,2,2.</ls> {#yu\voH si\ktA vizu^rUpARi\ savra^tA#}","<ls>TS. 2,4,12,2.</ls> <ls n=""TS. 2,"">5,2,2.</ls> {#yu\voH si\ktA vizu^rUpARi\ savra^tA#}",siṣikṣati,Possibly Delete,False
sidh,pw,"— Mit ā LB — 1) antreiben Comm. zu Lāṭy. 8,6,3. LB — 2) āmiddha verhaftet","— Mit ā LB — 1) antreiben Comm. zu Lāṭy. 8,6,3. LB — 2) āsiddha verhaftet","Pāṇ. vii, 3, 113","Pāṇ. viii, 3, 113",False
sma,pwg,"<ls n=""ŚAT. BR."">12,3,5,1.</ls> <ls>TS. 6,2,10,4. 6,1,2.</ls> Weitere Beisplele s. u. {#pu…","<ls n=""ŚAT. BR."">12,3,5,1.</ls> <ls>TS. 6,2,10,4.</ls> <ls n=""TS. 6,"">6,1,2.</ls> Weitere …","relative, or prep. or verb, while in later language it frequently follows iti, <!!!>na and…",na and mā́ [cf. 1. mā́] nA/ -> mA,False
stu,pwg,"<ls>R. 5,41,7.</ls> <ls>MṚCCH. 89,11.</ls> <ls>RAGH. 5,19.</ls> <ls>MĀLATĪM. 16,15.</ls> <…","<ls>R. 5,41,7.</ls> <ls>MṚCCH. 89,11.</ls> <ls>RAGH. 5,19.</ls> <ls>MĀLATĪM. 16,15.</ls> <…",stuṣé Impv.,"stuṣé, Impv.",False
subAhu,pwg,"<ls n=""MĀRK. P."">37. 7.</ls> ein <is>Bodhisattva</is>","<ls n=""MĀRK. P."">37,7.</ls> ein <is>Bodhisattva</is>","¦ of a <s1>Bodhi-sattva</s1> and a <s1>Bhikṣu</s1>, <ls>Buddh.</ls><info lex=""inh""/>","¦ of a <s1>Bodhisattva</s1> and a <s1>Bhikṣu</s1>, <ls>Buddh.</ls><info lex=""inh""/>",False
sudarSana,pw,¯BURNELL.T.,"¯BURNELL,T.",One entry is missing after this,(I) name of Indra's city,False
sudfS,pw,¯SPR.7826.,¯Spr.7826.,<s><sr1/>dfk</s> <lex>f<p><s>k</s></p>.</lex>,<s><sr1/>dfk</s> <lex>f.</lex>,False
sustuta,pw,¯VP.^2,¯VP.²,(cf. ṣṭuta),(cf. -ṣṭuta),False
syandana,pw,¯KA7C2.IKH.,¯KA7C2I7KH.,"a war-chariot, chariot, car (said also to be n.)","m. a war-chariot, chariot, car (said also to be n.)",False
tIrTa,pwg,"<ls>ŚAT. BR. 12,2,1,1. 5.</ls> {#tI\rTe sinDU^nAm#}","<ls>ŚAT. BR. 12,2,1,1.</ls> <ls n=""ŚAT. BR. 12,2,1,"">5.</ls> {#tI\rTe sinDU^nAm#}","¦ <ab>N.</ab> of certain counsellors of a king (enumerated in <ls>Pañcat. iii, 67/68</ls>)…","¦ <ab>N.</ab> of certain counsellors of a king (enumerated in <ls>Pañcat. iii, 66/67</ls>)…",True
taTA,pw,¯SPR.2965.,¯Spr.2965.,"for thus (it has been said), for instance, Ragh. ; Śak.","°TEva exactly so, in like manner [ remove 'ta']. Several similar changes",False
tad,pwg,"<ls>ŚAT. BR. 10,6,5,3. 14,4,1,11. 6,3,2.</ls>","<ls>ŚAT. BR. 10,6,5,3.</ls> <ls n=""ŚAT. BR."">14,4,1,11.</ls> <ls n=""ŚAT. BR. 14,"">6,3,2.</…",tad tad tad this and that ... LB tad tad tad respective,tad tad this and that LB tad tad respective,False
tadDita,pw,¯A7PST.,¯A7PAST.,"m. (scil. pratyaya) an affix forming nouns from other nouns (opposed to <!!!>1. kft)<!!!>,…",<hom>1.</hom> kft,False
tala,pwg,"<ls>PAÑCAT. 9,23. 14.</ls> {#tarutalamAyAti#}","<ls>PAÑCAT. 9,23.</ls> <ls n=""PAÑCAT. 9,"">14.</ls> {#tarutalamAyAti#}","<s>tala</s> ¦ <lex>m.</lex> the fore-arm, <ls>L.</ls><info lex=""m""/>","<s>tala</s> ¦ <lex>m.</lex> the forearm, <ls>L.</ls><info lex=""m""/>",False
tanUnapAt,pwg,"<ls>ŚAT. BR. 1,5,3,10. 4,2. 3,4,2,5.</ls>","<ls>ŚAT. BR. 1,5,3,10.</ls> <ls n=""ŚAT. BR. 1,5,"">4,2.</ls> <ls n=""ŚAT. BR."">3,4,2,5.</ls>",tanUnapAt,tanUnapAt,False
tandri,pw,¯BHA7G.P.),¯BHA7G.P. ),tandri m.,tandri,False
tantrin,pwg,"<ls>RĀJA-TAR. 5,248. 249. 254. 259. 264. 279. 288. 292. 308. 330. 334. 336. 339. 6,132.</l…","<ls>RĀJA-TAR. 5,248.</ls> <ls n=""RĀJA-TAR. 5,"">249.</ls> <ls n=""RĀJA-TAR. 5,"">254.</ls> <l…","¦ <ls n=""Rājat. "">vi.</ls><info lex=""inh""/>","¦ <ls n=""Rājat."">vi.</ls><info lex=""inh""/>",True
tatas,pwg,"<ls>ŚAT. BR. 1,1. 4,16.</ls> mit {#yadA#}","<ls>ŚAT. BR. 1,1,4,16.</ls> mit {#yadA#}",त°तः (similarly त°तस् ),°तः (at ids 81792 - 81797),False
tij,pwg,"<ls>VS. 5,43</ls> (s. oben u. simpl.","<ls>VS. 5,43</ls> (s. oben u. simpl. 1.).","<div n=""to""/>to sharpen, <ls n=""VS."">x, 138, 5</ls> :","<div n=""to""/>to sharpen, <ls n=""RV."">x, 138, 5</ls> :",True
truwi,pwg,"<ls>AK.</ls> <ls>H. an.</ls> <ls>MED.</ls> <ls>MBH. 1,1292.</ls> <ls>HARIV. 9529.</ls> <ls…","<ls>AK.</ls> <ls>H. an.</ls> <ls>MED.</ls> <ls>MBH. 1,1292.</ls> <ls>HARIV. 9529.</ls> <ls…","¦ a very minute space of time, <ls>MBh. i, 1292</ls>; <ls>Hariv. 9529</ls>; <ls>VarBṛS. ii…","¦ a very minute space of time, <ls>MBh. i, 1292</ls>; <ls>Hariv. 9529</ls>; <ls>VarBṛS. ii…",True
tryaNgula,pwg,"<ls n=""ŚAT. BR."">3,3,2,4. 7,1,5. 14,1,2,17.</ls> <ls>KĀTY. ŚR. 2,6,2.</ls> <ls n=""KĀTY. ŚR…","<ls n=""ŚAT. BR."">3,3,2,4.</ls> <ls n=""ŚAT. BR. 3,"">7,1,5.</ls> <ls n=""ŚAT. BR."">14,1,2,17.…","<s>try—aNgula/</s> ¦ <lex>n.</lex> 3 fingers' breadth, <ls>ŚBr. iii, 3, 2, 4</ls> and <ls …","<s>try—aNgula/</s> ¦ <lex>n.</lex> 3 fingers' breadth, <ls>ŚBr. iii, 3, 2, 4</ls> and <ls …",True
tvac,pwg,"<ls n=""ŚAT. BR."">14,5,4,11. 6,7,26. 9,30,31.</ls> {#indriyaM sparSagrAhakaM tvaksarvaSarIr…","<ls n=""ŚAT. BR."">14,5,4,11.</ls> <ls n=""ŚAT. BR. 14,"">6,7,26.</ls> <ls n=""ŚAT. BR. 14,"">9,…","¦ <bot>Cassia</bot> bark, <ls>VarBṛS. lxxvii, 6</ls>; <ls n=""VarBṛS. lxxvii,"">12</ls>; <ls…","¦ <bot>Cassia</bot> bark, <ls>VarBṛS. lxxvii, 6</ls>; <ls n=""VarBṛS. lxxvii,"">12</ls>; <ls…",True
u,pwg,"<ls>PAÑCAT. I,337. II,178.</ls> <ls>HIT. Pr. 10.</ls> Auf diese Weise den Gegensatz hervor…","<ls>PAÑCAT. I,337.</ls> <ls n=""PAÑCAT."">II,178.</ls> <ls>HIT. Pr. 10.</ls> Auf diese Weise…",,,False
udarka,pwg,"<ls>ŚAT. BR. 8,2,2,9. 7,1,3. 8,2,2,3.</ls>","<ls>ŚAT. BR. 8,2,2,9.</ls> <ls n=""ŚAT. BR. 8,"">7,1,3.</ls> <ls n=""ŚAT. BR."">8,2,2,3.</ls>",look-out,lookout,False
udvApa,pw,¯C2AM5K. ‹zu› ¯BA7DAR,¯C2AM5K.zu.BA7DAR,"¦ (in logic) non-existence of a consequent resulting from the absence of an antecedent, <l…","¦ (in logic) nonexistence of a consequent resulting from the absence of an antecedent, <ls…",False
upari,pwg,"<ls n=""ṚV."">8,47,2.</ls> <ls n=""ṚV."">5,61,12.</ls> <ls>AV. 8,9,6.</ls> <ls n=""AV."">18,3,25…","<ls n=""ṚV."">8,47,2.</ls> <ls n=""ṚV."">5,61,12.</ls> <ls>AV. 8,9,6.</ls> <ls n=""AV."">18,3,25…",Germ. öber,Germ. über,False
uttara,pwg,"<ls>TS. 5,2,8,4. -</ls> <ls>BṚH. ĀR. UP. 2,2,2.</ls> <ls>CHĀND. UP. 3,15,1.</ls> {#uttarak…","<ls>TS. 5,2,8,4.</ls> — <ls>BṚH. ĀR. UP. 2,2,2.</ls> <ls>CHĀND. UP. 3,15,1.</ls> {#uttarak…",for 1 see ...,for <hom>1</hom> see ...,False
vA,pwg,"<ls>VS. 19,80. 82. 89.</ls>","<ls>VS. 19,80.</ls> <ls n=""VS. 19,"">82.</ls> <ls n=""VS. 19,"">89.</ls>","1. vā ind. or (excluded, like the Lat. ve, from the first place in a sentence, and general…","note that here, in the abbreviation m.c. only the c is underlined and so instead of giving…",False
vAdin,pwg,"<ls>MĀRK. P. 22,12. 114,30.</ls>","<ls>MĀRK. P. 22,12.</ls> <ls n=""MĀRK. P."">114,30.</ls>","<s>vAdin</s> ¦ <lex>m.</lex> a player on any musical instrument, musician (see <lex type=""…","<s>vAdin</s> ¦ <lex>m.</lex> a player on any musical instrument, musician (see <lex type=""…",False
vAraka,pw,¯HEM.¯PAR.,¯HEM.PAR.,kazWa,kazwa,False
vI,pwg,"<ls n=""VS."">8,61,5. 4,17.</ls> {#vi\hi hotrA\ avI^tAH#}","<ls n=""ṚV."">8,61,5.</ls> <ls n=""ṚV. 8,"">4,17.</ls> {#vi\hi hotrA\ avI^tAH#}","<hom>1.</hom> <s>vI</s> ¦ <ab>cl.</ab> 2. <ab>P.</ab> (<ls>Dhātup. xxiv, 39</ls>) <s>veti<…","<hom>1.</hom> <s>vI</s> ¦ <ab>cl.</ab> 2. <ab>P.</ab> (<ls>Dhātup. xxiv, 39</ls>) <s>veti<…",False
vItarAga,pw,¯Hem.Par.,¯HEM.PAR.,"<s>vI<srs/>ta—rAga</s> ¦ <lex>mfn.</lex> free from passions or affections, dispassionate, …","<s>vI<srs/>ta—rAga</s> ¦ <lex>mfn.</lex> free from passions or affections, dispassionate, …",False
vaDU,pwg,"<ls>VARĀH. BṚH. S. 27,4. 43,5.</ls>","<ls>VARĀH. BṚH. S. 27,4.</ls> <ls n=""VARĀH. BṚH. S."">43,5.</ls>","woman, young wife spouse any wife","woman, young wife, spouse, any wife",False
vac,pwg,"<ls>TS. 6,2,4,2. 3.</ls> {#aTa nu kimanuSizwo 'vocaTAH#} {%wie konntest du dich für unterr…","<ls>TS. 6,2,4,2.</ls> <ls n=""TS. 6,2,4,"">3.</ls> {#aTa nu kimanuSizwo 'vocaTAH#} {%wie kon…","with, double acc.",with double acc.,False
vah,pwg,"<ls>MĀRK. P. 21,31. 28,18. 34,77. fg. 113,32.</ls> med. <ls>M. 3,4.</ls> <ls>KATHĀS. 36,56…","<ls>MĀRK. P. 21,31.</ls> <ls n=""MĀRK. P."">28,18.</ls> <ls n=""MĀRK. P."">34,77. fg.</ls> <ls…",Uk,Uh,False
vajra,pwg,"<ls n=""Spr."">2706.</ls> <ls>VARĀH. BṚH. S. 16,28. 29,8. 41,8. 44,27.</ls> <ls>Verz. d. Oxf…","<ls n=""Spr."">2706.</ls> <ls>VARĀH. BṚH. S. 16,28.</ls> <ls n=""VARĀH. BṚH. S."">29,8.</ls> <…","Dala-pūrvins,","Daśa-pūrvins,",False
vallaBa,pwg,"<ls>RĀJA-TAR. 3,9. 482. 507.</ls>","<ls>RĀJA-TAR. 3,9.</ls> <ls n=""RĀJA-TAR. 3,"">482.</ls> <ls n=""RĀJA-TAR. 3,"">507.</ls>","¦ dearer than (<ab>abl.</ab>), <ls>Pañcat. iv, 28</ls><info lex=""inh""/>","¦ dearer than (<ab>abl.</ab>), <ls>Pañcat. iv, 67/68</ls><info lex=""inh""/>",True
vapra,pw,¯BHA7VAPR.B.I.,¯BHA7VAPR. ‹bei›,"vapra n. lead, L. (cf. varahra). [ID=186393]","vapra n. lead, L. (cf. vardhra). [ID=186393]",False
vas,pwg,"<ls>MĀRK. P. 126,17. 19.</ls>","<ls>MĀRK. P. 126,17.</ls> <ls n=""MĀRK. P. 126,"">19.</ls>",‘t° keep aloof’,‘to keep aloof’,False
vasantapura,pw,¯HEM.¯PAR.,¯HEM.PAR.,Hpariṡ.,HPariṡ.,False
vasu,pwg,"<is>Vārtt</is>. 2 zu <ls n=""P."">4,1,177.</ls> <ls>AK. 1,1,1,5.</ls> <ls n=""AK."">3,4,30,230…","<is>Vārtt</is>. 2 zu <ls n=""P."">4,1,177.</ls> <ls>AK. 1,1,1,5.</ls> <ls n=""AK."">3,4,30,230…",°sor-dhā́rā-prayoga m. N. of wk.,°rā-prayoga m. N. of wk.,False
vatsa,pwg,"<ls n=""AV."">12,4,7.</ls> <ls n=""AV."">9,4,2.</ls> <ls>AIT. BR. 6,3.</ls> <ls>ŚAT. BR. 1,5,2…","<ls n=""AV."">12,4,7.</ls> <ls n=""AV."">9,4,2.</ls> <ls>AIT. BR. 6,3.</ls> <ls>ŚAT. BR. 1,5,2…",Nerium Aitidysentericum,Nerium Antidysentericum,False
vayiyu,pw,¯DURGA.,¯DURGA,fr. √vai,fr. √ve,False
veSa,pw,ein angenommenes Aeussere,ein angenommenes Aeusseres,¦ often <ab>w.r.</ab> for <s>veza</s>. [For cognate words See under √ <hom>1.</hom> <s>viS…,"¦ often <ab>w.r.</ab> for <s>veza</s>. [For cognate words, see under √ <hom>1.</hom> <s>vi…",False
viBARqa,pw,"¯KA7C2.K4KH.11,17.","¯KA7C2I7KH.11,17.",viBARqa,viBARqI,False
viSudDi,pw,¯BIG4AG.,¯BI7G4AG.,"<s>vi-SudDi</s> ¦ <lex>f.</lex> complete purification, purity (also <ab>fig.</ab>). holine…","<s>vi-SudDi</s> ¦ <lex>f.</lex> complete purification, purity (also <ab>fig.</ab>), holine…",False
vidrumalatA,pw,¯VR2HABH.,¯VR2SHABH.,"<L>193145<pc>951,1<k1>vidrumalatA<k2>vi—druma—latA<h>2<e>4","<L>193145<pc>951,1<k1>vidrumalatA<k2>vi—druma—latA<e>4",False
vihAyas,pw,¯KUTUKAS.,¯KAUTUKAR.,"953,2] 1. vi—hāyas (vi-), mfn. (for 2., from which perhaps it is scarcely <!!!>separable S…","separable, see",False
vij,pwg,"<ls>MBH. 1,8427.</ls> <ls n=""MBH."">13,3047.</ls> <ls n=""MBH. 13,"">3439</ls> (med.). <ls n=…","<ls>MBH. 1,8427.</ls> <ls n=""MBH."">13,3047.</ls> <ls n=""MBH. 13,"">3439</ls> (med.). <ls n=…",cl. 1. P. vinakti,cl. 7. P. vinakti,False
vilasita,pw,¯HEM. ¯PAR.,¯HEM.PAR.,"sport play,","sport, play,",False
